,0.741497,0.831651
0,0.777127,0.997952
1,0.941978,1.597
2,0.932406,1.88169
3,0.885898,1.78359
4,1.01561,1.49356
5,0.870471,1.50039
6,0.760145,1.57368
7,0.930793,1.36831
8,1.14367,1.61956
9,0.860367,1.35448
10,0.95229,1.48872
11,0.907073,1.54224
12,0.909864,1.55459
13,0.987683,1.74215
14,0.770765,1.09632
15,1.16135,1.98868
16,0.949828,1.49723
17,0.8767,1.71058
18,0.902278,1.77035
19,1.01787,1.76284
20,0.919207,1.43868
21,0.835289,1.29781
22,0.806031,1.14672
23,0.885539,1.44513
24,0.909043,1.56422
25,0.862138,1.6948
26,0.877587,1.37357
27,0.897467,1.74796
28,0.742648,1.27982
29,0.769632,1.60064
30,0.770953,1.80639
31,0.956744,1.77042
32,1.05779,1.36097
33,0.85057,1.19177
34,1.02073,1.60028
35,0.882118,1.25219
36,0.912625,1.5217
37,0.86368,1.41014
38,1.0099,1.7442
39,1.05454,1.64194
40,0.926553,1.57725
41,1.0561,1.70938
42,0.981829,1.72881
43,0.869683,1.60069
44,1.15685,2.98522
45,1.14184,2.95404
46,1.08271,2.32992
47,0.982441,2.04265
48,1.06595,2.27961
49,1.14457,2.48429
50,1.15313,2.97304
51,1.13146,2.91609
52,1.08671,2.77866
53,0.996381,2.1435
54,1.1451,2.90323
55,1.08819,2.32255
56,0.982377,2.07048
57,1.14054,2.31218
58,1.0032,2.12561
59,1.13535,2.60416
60,1.1232,2.17169
61,1.08248,2.37643
62,1.13128,2.92523
63,1.07559,2.89239
64,0.911938,2.16281
65,0.976774,2.3557
66,1.02488,2.6306
67,1.02876,2.62888
68,1.01796,2.21584
69,1.06009,2.19241
70,1.08785,2.86789
71,1.04291,2.25887
72,1.17161,3.10762
73,1.13374,3.18542
74,1.16021,3.10377
75,1.20052,3.16978
76,1.16575,3.00576
77,1.18714,3.14361
78,1.25733,3.19179
79,1.28014,3.2021
80,1.19422,3.03222
81,1.247,3.44228
82,1.33392,4.91947
83,1.3312,4.5742
84,1.19019,4.85466
85,1.14379,4.78185
86,1.27821,4.98598
87,1.20945,4.88803
88,1.12454,4.82061
89,1.12755,4.62089
90,0.939033,4.8181
91,0.963213,4.8864
92,1.24974,5.5142
93,1.22429,5.54407
94,1.19483,5.4163
95,1.28878,5.03359
96,1.19793,5.69623
97,1.21798,5.66978
98,1.39418,5.44265
99,1.30813,5.46534
100,1.23315,5.57406
101,1.3099,5.18296
102,1.2191,5.59624
103,1.82138,5.39538
104,1.21674,5.33053
105,1.31016,5.1378
106,1.36548,5.10014
107,1.28921,5.97551
108,1.23075,5.02565
109,1.24753,5.75336
110,1.14346,5.60752
111,1.09571,5.48796
112,1.16894,5.63542
113,1.0909,5.46996
114,1.06196,5.32664
115,1.19946,5.6485
116,0.979699,5.29596
117,0.941063,5.12391
118,1.04354,5.37874
119,1.09728,5.47443
120,0.859057,5.46666
121,0.981378,5.83422
122,1.14081,5.55207
123,1.24466,5.54422
124,1.27775,5.56562
125,1.263,5.81177
126,2.37877,5.80483
127,1.22554,5.44087
128,1.01842,5.35779
129,1.20033,5.5283
130,1.03923,5.15555
131,1.23316,5.94888
132,1.22267,6.69158
133,1.36115,6.73075
134,1.31241,6.27423
135,1.24541,6.88295
136,1.31347,6.02836
137,1.35624,6.77887
138,1.28072,6.04188
139,1.22464,6.20514
140,1.20101,6.18437
141,1.23469,6.70199
142,1.23272,6.16554
143,1.2497,6.28453
144,1.45624,6.9907
145,1.22817,6.10432
146,1.19924,6.16416
147,1.26101,6.15461
148,1.17912,6.09489
149,1.2443,6.3657
150,1.19305,6.13893
151,1.6637,6.9511
152,1.19316,6.83853
153,1.25484,6.86253
154,1.09964,6.57961
155,1.09491,6.57565
156,1.09079,6.60053
157,1.08462,6.55515
158,1.02126,6.23343
159,1.29428,6.69828
160,1.30614,6.72072
161,1.26389,6.23624
162,1.28079,6.47027
163,1.33325,6.78848
164,1.21109,6.03013
165,1.24397,6.37105
166,1.18212,6.1601
167,1.29205,6.16302
168,1.23319,7.05653
169,1.26732,7.296
170,1.24603,7.21703
171,1.27455,7.18147
172,1.25761,7.26358
173,1.2734,7.20384
174,1.25054,7.23494
175,1.23774,7.20928
176,1.27566,7.4037
177,1.24683,7.23346
178,1.28541,7.37072
179,1.25899,7.4119
180,1.23808,7.20239
181,1.43679,7.48327
182,1.57181,7.21309
183,1.24158,8.69712
184,1.2194,8.89718
185,1.20207,8.81334
186,1.4099,8.60944
187,1.26728,8.70759
188,1.34762,8.72612
189,1.34788,8.86741
190,1.30134,8.80303
191,1.35398,8.99028
192,1.28631,8.6936
193,1.24474,8.9958
194,0.969582,8.88793
195,1.1527,8.57781
196,1.25114,8.88374
197,1.25327,9.0184
198,2.38061,9.05795
199,1.21799,9.26886
200,1.15789,9.64136
201,1.47756,9.58086
202,2.92627,9.40802
203,1.29432,9.24842
204,1.28265,9.1173
