,0,1
0,0.741497,0.831651
1,0.777127,0.997952
2,0.941978,1.597
3,0.932406,1.88169
4,0.885898,1.78359
5,1.01561,1.49356
6,0.870471,1.50039
7,0.760145,1.57368
8,0.930793,1.36831
9,1.14367,1.61956
10,0.860367,1.35448
11,0.95229,1.48872
12,0.907073,1.54224
13,0.909864,1.55459
14,0.987683,1.74215
15,0.770765,1.09632
16,1.16135,1.98868
17,0.949828,1.49723
18,0.8767,1.71058
19,0.902278,1.77035
20,1.01787,1.76284
21,0.919207,1.43868
22,0.835289,1.29781
23,0.806031,1.14672
24,0.885539,1.44513
25,0.909043,1.56422
26,0.862138,1.6948
27,0.877587,1.37357
28,0.897467,1.74796
29,0.742648,1.27982
30,0.769632,1.60064
31,0.770953,1.80639
32,0.956744,1.77042
33,1.05779,1.36097
34,0.85057,1.19177
35,1.02073,1.60028
36,0.882118,1.25219
37,0.912625,1.5217
38,0.86368,1.41014
39,1.0099,1.7442
40,1.05454,1.64194
41,0.926553,1.57725
42,1.0561,1.70938
43,0.981829,1.72881
44,0.869683,1.60069
45,1.15685,2.98522
46,1.14184,2.95404
47,1.08271,2.32992
48,0.982441,2.04265
49,1.06595,2.27961
50,1.14457,2.48429
51,1.15313,2.97304
52,1.13146,2.91609
53,1.08671,2.77866
54,0.996381,2.1435
55,1.1451,2.90323
56,1.08819,2.32255
57,0.982377,2.07048
58,1.14054,2.31218
59,1.0032,2.12561
60,1.13535,2.60416
61,1.1232,2.17169
62,1.08248,2.37643
63,1.13128,2.92523
64,1.07559,2.89239
65,0.911938,2.16281
66,0.976774,2.3557
67,1.02488,2.6306
68,1.02876,2.62888
69,1.01796,2.21584
70,1.06009,2.19241
71,1.08785,2.86789
72,1.04291,2.25887
73,1.17161,3.10762
74,1.13374,3.18542
75,1.16021,3.10377
76,1.20052,3.16978
77,1.16575,3.00576
78,1.18714,3.14361
79,1.25733,3.19179
80,1.28014,3.2021
81,1.19422,3.03222
82,1.247,3.44228
83,1.33392,4.91947
84,1.3312,4.5742
85,1.19019,4.85466
86,1.14379,4.78185
87,1.27821,4.98598
88,1.20945,4.88803
89,1.12454,4.82061
90,1.12755,4.62089
91,0.939033,4.8181
92,0.963213,4.8864
93,1.24974,5.5142
94,1.22429,5.54407
95,1.19483,5.4163
96,1.28878,5.03359
97,1.19793,5.69623
98,1.21798,5.66978
99,1.39418,5.44265
100,1.30813,5.46534
101,1.23315,5.57406
102,1.3099,5.18296
103,1.2191,5.59624
104,1.82138,5.39538
105,1.21674,5.33053
106,1.31016,5.1378
107,1.36548,5.10014
108,1.28921,5.97551
109,1.23075,5.02565
110,1.24753,5.75336
111,1.14346,5.60752
112,1.09571,5.48796
113,1.16894,5.63542
114,1.0909,5.46996
115,1.06196,5.32664
116,1.19946,5.6485
117,0.979699,5.29596
118,0.941063,5.12391
119,1.04354,5.37874
120,1.09728,5.47443
121,0.859057,5.46666
122,0.981378,5.83422
123,1.14081,5.55207
124,1.24466,5.54422
125,1.27775,5.56562
126,1.263,5.81177
127,2.37877,5.80483
